Message,Expected article,Reset previous context
connect me to agent!,Talk to an agent,FALSE
benefits of credit card,What are the benefits of MyBank credit card?,FALSE
how to check transactions?,How can I view my transactions?,TRUE
register for a secure card,How do I register for a secure card?,FALSE
"report for stolen or, lost credit card","My Credit Card is lost or stolen, what do I need to do?",FALSE
Mybank credit card replacement;,How do I order a replacement of MyBank Credit Card?,TRUE
how to know contactless payment limit?,Do I have a daily limit for contactless payments?,FALSE
card abroad charges?,Can I use my card abroad and will I be charged?,FALSE
connect me to agent!,Talk to an agent,FALSE
benefits of credit card,What are the benefits of MyBank credit card?,FALSE
how to check transactions?,How can I view my transactions?,TRUE
register for a secure card,How do I register for a secure card?,FALSE
"report for stolen or, lost credit card","My Credit Card is lost or stolen, what do I need to do?",FALSE
Mybank credit card replacement;,How do I order a replacement of MyBank Credit Card?,TRUE
how to know contactless payment limit?,Do I have a daily limit for contactless payments?,FALSE
card abroad charges?,Can I use my card abroad and will I be charged?,FALSE
connect me to agent!,Talk to an agent,FALSE
benefits of credit card,What are the benefits of MyBank credit card?,FALSE
how to check transactions?,How can I view my transactions?,TRUE
register for a secure card,How do I register for a secure card?,FALSE
